AdId,ListId,Subject,Address,Ward,District,Region,PriceVND,PriceString,AreaM2,BedRooms,BathRooms,Floor,PropertyStatus,Type,LegalStatus,Interior,MainDirection,BalconyDirection,SellerType,PostDateText,ListTimeRaw,NgayDang,CrawlDate,Link
173525522,130192325,"Bán 1PN 4,5tỷ - 2PN 5,2tỷ - 3PN 6,2tỷ - 4PN 8,2tỷ- DUPLEX 3PN 9,1tỷ",,Phường 6,Quận 6,Tp Hồ Chí Minh,5200000000,"5,2 tỷ",70.0,2,2.0,,1.0,1,5.0,,,,,50 giây trước,1780050917000,2026-05-29 17:35:17,2026-05-29 17:36:07,https://cdn.chotot.com/c5FlVi8aTHVtY8ZEHIkWBIgV6Hl9z3JuiTWZ5g7B5hI/preset:listing/plain/000d9c41e0f9bd9fb55369c0a8945d23-2966239049997344222.webp
176200382,132490368,THAP ELEVA-DESTINO CENTRO VIEW BITEXCO THOÁNG MÁT DỄ DÀNG CHO THUÊ,,Xã Bình Chánh,Huyện Bình Chánh,Tp Hồ Chí Minh,1553004528,"1,553 tỷ",55.63,2,,,,1,,,,,,4 phút trước,1780050724000,2026-05-29 17:32:04,2026-05-29 17:36:07,https://cdn.chotot.com/GgezyFptsqSuE72x1D-3WoIxgdk77pfDT7TFUw9zWk0/preset:listing/plain/774d78c1ba68917042f8578aa93d5792-2985075204286136640.webp
175891100,132223854,Căn hộ 2pn 2wc Q7 Căn Góc giá,,Phường Phú Mỹ,Quận 7,Tp Hồ Chí Minh,2980000000,"2,98 tỷ",93.0,2,2.0,,,1,,,,,,6 phút trước,1780050587000,2026-05-29 17:29:47,2026-05-29 17:36:07,https://cdn.chotot.com/700HSJzgaYYco_zZRFZiWGgn6YCVzZPxWS0QeN2VwU8/preset:listing/plain/897a013614d42d30ac56f10c3fd4b7a2-2983092162245180253.webp
176222755,132509783,ban chung cu tang cao yen tinh,,Xã Phước Kiển,Huyện Nhà Bè,Tp Hồ Chí Minh,2910000000,"2,91 tỷ",62.0,2,1.0,,,1,,3.0,,,,12 phút trước,1780050249000,2026-05-29 17:24:09,2026-05-29 17:36:07,https://cdn.chotot.com/L1V9Ci9ZibyqsjenM7-pqKF-LBvESP_tDQOA_Uhwdf8/preset:listing/plain/d4af402722fd783fe6a6b4c5f46af380-2986320532582336254.webp
173609739,130265565,Cần Bán Căn Hộ The Park Residence 2 Phòng Ngủ 1wc Giá 2 Tỷ 950 Triệu,,Xã Phước Kiển,Huyện Nhà Bè,Tp Hồ Chí Minh,2890000000,"2,89 tỷ",61.0,2,1.0,,2.0,1,5.0,1.0,2.0,,,14 phút trước,1780050113000,2026-05-29 17:21:53,2026-05-29 17:36:07,https://cdn.chotot.com/KuFf5Rg0ZsCPGiVIaQy6p-LdthHzuyjzTwzbtHHpMus/preset:listing/plain/b181b4519a08ebeedbe5a37c71616e81-2966810337741341864.webp
174761421,131261763,"🍀 BÁN 2PN FULL NỘI THẤT ĐẸP D  IAMOND CENTERY, NHẬN NHÀ Ở LIỀN",,Phường Sơn Kỳ,Quận Tân Phú,Tp Hồ Chí Minh,7850000000,"7,85 tỷ",86.0,2,2.0,,2.0,1,,2.0,,,,20 phút trước,1780049791000,2026-05-29 17:16:31,2026-05-29 17:36:07,https://cdn.chotot.com/DaEDL_Ksw5Ak4CIAAHXc9XOvHI1zofRjEug_-5SQMj8/preset:listing/plain/81ec55bba958ee11c6005e8067ca6c4c-2975880367849015111.webp
176390505,132655721,TÔI CẦN BÁN CĂN HỘ SANG TRỌNG NGAY SÁT TRUNG TÂM HÀNH CHÍNH BÌNH CHÁNH,,Xã Bình Chánh,Huyện Bình Chánh,Tp Hồ Chí Minh,1394420300,"1,394 tỷ",50.0,2,1.0,,,1,,,,,,24 phút trước,1780049523000,2026-05-29 17:12:03,2026-05-29 17:36:07,https://cdn.chotot.com/bckVFf65UdwTFL0YOjmXbOLgJGrBgHUO895YcfsHzEE/preset:listing/plain/7df2834201d792a783c8ff833f438b93-2986277352244344011.webp
176413876,132674104,❎Bán căn hộ 2pn*Góc nhà decor fullNT*Cc BellezaQ7*Dt 88m2*4.29 tỷ,,Phường Phú Mỹ,Quận 7,Tp Hồ Chí Minh,4290000000,"4,29 tỷ",88.0,2,2.0,,2.0,1,6.0,2.0,4.0,,,29 phút trước,1780049216000,2026-05-29 17:06:56,2026-05-29 17:36:07,https://cdn.chotot.com/-vLSWKMgtQiOX150F7UuvlizAJJVHkTQ-Zyhb9OieNM/preset:listing/plain/6271604c7ade95aac154aeff8642cc79-2986426701417896846.webp
176413861,132674096,Bán căn hộ The Sun Avenue 51M 1PN 1Wc SHR,,Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,5100000000,"5,1 tỷ",51.0,1,1.0,,2.0,1,6.0,,,,,30 phút trước,1780049169000,2026-05-29 17:06:09,2026-05-29 17:36:07,https://cdn.chotot.com/UcMYVP_XEaHWNnKXbMiFiXPS-v1NKdrvvGIl14o4BwU/preset:listing/plain/0a9439f490c7cddd94bf95e76836297b-2986426656731101452.webp
172791147,129555862,CTL 3 phòng ngủ dt87m2 giá bán 4.2 tỷ,,Phường Tân Thới Nhất,Quận 12,Tp Hồ Chí Minh,4200000000,"4,2 tỷ",87.0,3,2.0,,2.0,1,6.0,,,,,37 phút trước,1780048746000,2026-05-29 16:59:06,2026-05-29 17:36:07,https://cdn.chotot.com/vqmQfZsONDEAUTWIQAF207ex7LLBKQjqWNbgVyEwGYc/preset:listing/plain/b111859de1d637d60bc160cef1a641c6-2961494247221670402.webp
176200051,132490483,DESTINO-THÁP ELEVA CĂN HỘ CAO CẤP GIÁ QUỐC DÂN MẶT TIỀN QL1A,,Xã Bình Chánh,Huyện Bình Chánh,Tp Hồ Chí Minh,1460150400,"1,46 tỷ",50.97,2,1.0,,,1,,,,,,44 phút trước,1780048323000,2026-05-29 16:52:03,2026-05-29 17:36:07,https://cdn.chotot.com/IsFCxAxC6wjSUS-ozcRCx5qB74B4e052fwscex7vhvU/preset:listing/plain/41702f045898655cbcb5e5e1613ab61e-2985074582865900753.webp
174112045,130705231,Bán CH Mizuki Park | 78m2 2PN 2WC | Sổ Hồng Sẵn | Full nội tthất,,Xã Bình Hưng,Huyện Bình Chánh,Tp Hồ Chí Minh,4680000000,"4,68 tỷ",78.0,2,2.0,,2.0,1,6.0,2.0,5.0,,,46 phút trước,1780048237000,2026-05-29 16:50:37,2026-05-29 17:36:07,https://cdn.chotot.com/4SAcpkzWYGKQYiQ8HeoSZfIQUWfcXWjUNi_ES5Yuw7o/preset:listing/plain/fe16afd8a091c6a8f043e696d9388b0c-2970322911147064826.webp
173740874,130380099,"Cần bán căn góc 3pn lầu 2 dự án Mỹ Phước, Trung tâm Phú Mỹ Hưng,sổ đỏ",,Phường Tân Phong,Quận 7,Tp Hồ Chí Minh,5900000000,"5,9 tỷ",95.0,3,,,2.0,1,6.0,2.0,,,,49 phút trước,1780048013000,2026-05-29 16:46:53,2026-05-29 17:36:07,https://cdn.chotot.com/_K8dnBfCV6o6Mli0q6t9GBr_Dm4I4a90TSdQfpep3eE/preset:listing/plain/c43c7accd2cb6560ac69ab3c8d3ed816-2967683439024678945.webp
175597121,131972215,CHÍNH CHỦ CẦN BÁN CĂN HỘ GREEN TOWN - BLOCK B1 - KDC VĨNH LỘC,,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,2800000000,"2,8 tỷ",63.0,2,2.0,,,1,,,,,,50 phút trước,1780047995000,2026-05-29 16:46:35,2026-05-29 17:36:07,https://cdn.chotot.com/iuWjWBMIAQenWE8XmpgYAQzuZKyhwe4i2RWCf_G5zgk/preset:listing/plain/5bfbd70037c9261a44c17394f168b50d-2981017402082048013.webp
