AdId,Subject,Address,District,Ward,PriceVND,PriceString,AreaM2,BedRooms,BathRooms,Floor,PropertyStatus,Type,LegalStatus,Interior,MainDirection,BalconyDirection,SellerType,PostDateText,ListTimeRaw,NgayDang,CrawlDate,Link
100000,Căn hộ 2PN tại Quận Bình Thạnh,"Đường mẫu, Phường 1, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Phường Tân Phú,2661177598,"2,66 tỷ",60.7,2,1,35,Chưa bàn giao,Chung cư,Đã có sổ,Nội thất cao cấp,Đông,Tây,Cá nhân,,1706486400000,2024-01-29 00:00:00,2026-05-19 16:21:52,https://www.chotot.com/100000.htm
100001,Căn hộ 4PN tại Quận 1,"Đường mẫu, Phường 2, Quận 1, TP Hồ Chí Minh",Quận 1,Phường An Phú,6749565704,"6,75 tỷ",93.9,4,3,27,Chưa bàn giao,Chung cư,Đã có sổ,Nội thất cao cấp,Bắc,Nam,Môi giới,,1715281200000,2024-05-09 19:00:00,2026-05-19 16:21:52,https://www.chotot.com/100001.htm
100002,Căn hộ 3PN tại TP. Thủ Đức,"Đường mẫu, Phường 5, TP. Thủ Đức, TP Hồ Chí Minh",TP. Thủ Đức,Phường Tân Phú,2049700630,"2,05 tỷ",45.7,3,1,23,Chưa bàn giao,Chung cư,Đã có sổ,Nhà trống,Bắc,Đông Nam,Cá nhân,,1707458400000,2024-02-09 06:00:00,2026-05-19 16:21:52,https://www.chotot.com/100002.htm
100003,Căn hộ 3PN tại Quận Bình Thạnh,"Đường mẫu, Phường Thảo Điền, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Phường 1,6013274258,"6,01 tỷ",122.1,3,2,13,Đã bàn giao,Chung cư,Giấy tờ khác,Nội thất cao cấp,Nam,Đông,Cá nhân,,1712368800000,2024-04-06 02:00:00,2026-05-19 16:21:52,https://www.chotot.com/100003.htm
100004,Căn hộ 2PN tại Quận Bình Thạnh,"Đường mẫu, Phường 5, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Phường 2,3242158212,"3,24 tỷ",82.6,2,1,24,Chưa bàn giao,Chung cư,Giấy tờ khác,Nhà trống,Đông,Đông Nam,Cá nhân,,1706270400000,2024-01-26 12:00:00,2026-05-19 16:21:52,https://www.chotot.com/100004.htm
100005,Căn hộ 3PN tại Quận 7,"Đường mẫu, Phường Thảo Điền, Quận 7, TP Hồ Chí Minh",Quận 7,Phường 5,2552784513,"2,55 tỷ",52.2,3,2,15,Đã bàn giao,Chung cư,Đã có sổ,Nội thất cao cấp,Nam,Bắc,Môi giới,,1715900400000,2024-05-16 23:00:00,2026-05-19 16:21:52,https://www.chotot.com/100005.htm
100006,Căn hộ 3PN tại TP. Thủ Đức,"Đường mẫu, Phường 2, TP. Thủ Đức, TP Hồ Chí Minh",TP. Thủ Đức,Phường 5,2714709088,"2,71 tỷ",57.3,3,2,30,Đã bàn giao,Chung cư,Đã có sổ,Nhà trống,Đông Nam,Đông Nam,Môi giới,,1705471200000,2024-01-17 06:00:00,2026-05-19 16:21:52,https://www.chotot.com/100006.htm
100007,Căn hộ 2PN tại Quận Tân Bình,"Đường mẫu, Phường 1, Quận Tân Bình, TP Hồ Chí Minh",Quận Tân Bình,Phường 1,3319404689,"3,32 tỷ",73.0,2,3,32,Đã bàn giao,Chung cư,Đã có sổ,Nhà trống,Tây,Bắc,Cá nhân,,1716987600000,2024-05-29 13:00:00,2026-05-19 16:21:52,https://www.chotot.com/100007.htm
100008,Căn hộ 3PN tại Quận 4,"Đường mẫu, Phường Thảo Điền, Quận 4, TP Hồ Chí Minh",Quận 4,Phường Tân Phú,4067333466,"4,07 tỷ",90.6,3,1,8,Chưa bàn giao,Chung cư,Giấy tờ khác,Nội thất đầy đủ,Đông,Nam,Môi giới,,1712577600000,2024-04-08 12:00:00,2026-05-19 16:21:52,https://www.chotot.com/100008.htm
100009,Căn hộ 4PN tại Quận 1,"Đường mẫu, Phường 2, Quận 1, TP Hồ Chí Minh",Quận 1,Phường Tân Phú,9643611944,"9,64 tỷ",135.2,4,2,33,Đã bàn giao,Chung cư,Giấy tờ khác,Nội thất đầy đủ,Đông Nam,Đông Nam,Cá nhân,,1707573600000,2024-02-10 14:00:00,2026-05-19 16:21:52,https://www.chotot.com/100009.htm
100010,Căn hộ 3PN tại Quận 3,"Đường mẫu, Phường An Phú, Quận 3, TP Hồ Chí Minh",Quận 3,Phường 1,4619456330,"4,62 tỷ",91.6,3,1,21,Đã bàn giao,Chung cư,Đang chờ sổ,Nội thất đầy đủ,Tây,Đông,Cá nhân,,1707476400000,2024-02-09 11:00:00,2026-05-19 16:21:52,https://www.chotot.com/100010.htm
100011,Căn hộ 1PN tại Quận 2,"Đường mẫu, Phường 2, Quận 2, TP Hồ Chí Minh",Quận 2,Phường Thảo Điền,5220146905,"5,22 tỷ",111.9,1,3,9,Chưa bàn giao,Chung cư,Giấy tờ khác,Nội thất cao cấp,Nam,Đông Nam,Môi giới,,1716602400000,2024-05-25 02:00:00,2026-05-19 16:21:52,https://www.chotot.com/100011.htm
100012,Căn hộ 3PN tại Quận 7,"Đường mẫu, Phường Tân Phú, Quận 7, TP Hồ Chí Minh",Quận 7,Phường An Phú,4858962337,"4,86 tỷ",109.9,3,2,29,Đã bàn giao,Chung cư,Đã có sổ,Nội thất cao cấp,Đông,Nam,Cá nhân,,1708794000000,2024-02-24 17:00:00,2026-05-19 16:21:52,https://www.chotot.com/100012.htm
100013,Căn hộ 1PN tại Quận 7,"Đường mẫu, Phường 2, Quận 7, TP Hồ Chí Minh",Quận 7,Phường 1,3188084590,"3,19 tỷ",96.8,1,1,4,Đã bàn giao,Chung cư,Đang chờ sổ,Nội thất cao cấp,Đông Nam,Tây,Môi giới,,1717088400000,2024-05-30 17:00:00,2026-05-19 16:21:52,https://www.chotot.com/100013.htm
100014,Căn hộ 3PN tại Quận 3,"Đường mẫu, Phường 2, Quận 3, TP Hồ Chí Minh",Quận 3,Phường An Phú,5041343711,"5,04 tỷ",111.0,3,3,31,Chưa bàn giao,Chung cư,Đã có sổ,Nội thất cao cấp,Đông,Bắc,Môi giới,,1714802400000,2024-05-04 06:00:00,2026-05-19 16:21:52,https://www.chotot.com/100014.htm
100015,Căn hộ 1PN tại Quận 4,"Đường mẫu, Phường An Phú, Quận 4, TP Hồ Chí Minh",Quận 4,Phường Thảo Điền,5173227386,"5,17 tỷ",125.7,1,1,4,Chưa bàn giao,Chung cư,Đã có sổ,Nội thất cao cấp,Tây,Tây,Môi giới,,1713445200000,2024-04-18 13:00:00,2026-05-19 16:21:52,https://www.chotot.com/100015.htm
100016,Căn hộ 2PN tại Quận 3,"Đường mẫu, Phường Tân Phú, Quận 3, TP Hồ Chí Minh",Quận 3,Phường 1,3044771859,"3,04 tỷ",64.2,2,1,29,Đã bàn giao,Chung cư,Giấy tờ khác,Nhà trống,Đông,Đông,Cá nhân,,1707138000000,2024-02-05 13:00:00,2026-05-19 16:21:52,https://www.chotot.com/100016.htm
100017,Căn hộ 3PN tại Quận 4,"Đường mẫu, Phường An Phú, Quận 4, TP Hồ Chí Minh",Quận 4,Phường 1,4096234636,"4,10 tỷ",85.5,3,1,11,Chưa bàn giao,Chung cư,Đang chờ sổ,Nội thất đầy đủ,Nam,Bắc,Môi giới,,1707742800000,2024-02-12 13:00:00,2026-05-19 16:21:52,https://www.chotot.com/100017.htm
